shop_name,url,place,types,star,price_dinner,price_lunch,holiday
プティ・ポン・パティスリー,https://tabelog.com/tokyo/A1329/A132905/13208031/,高尾駅 215m,ケーキ,3.11,-,￥1000～￥1999,月曜日・火曜日
ラ・パティスリー by アマン東京,https://tabelog.com/tokyo/A1302/A130201/13262844/,大手町駅 100m,ケーキ、洋菓子（その他）、パン,3.53,-,～￥999,日曜日
マパティスリー,https://tabelog.com/tokyo/A1304/A130401/13126511/,新宿三丁目駅 64m,ケーキ,3.15,-,￥1000～￥1999,伊勢丹に準じる
パティスリー華,https://tabelog.com/tokyo/A1319/A131905/13168444/,阿佐ケ谷駅 846m,ケーキ、カフェ,3.13,￥1000～￥1999,～￥999,水曜日・他不定休
パティスリー リョーコ,https://tabelog.com/tokyo/A1316/A131603/13137010/,高輪台駅 425m,ケーキ、チョコレート、マカロン,4.12,￥3000～￥3999,￥4000～￥4999,不定休（HPに掲載）
パティスリー・パリセヴェイユ,https://tabelog.com/tokyo/A1317/A131703/13005198/,自由が丘駅 195m,ケーキ、カフェ、パン,4.03,￥1000～￥1999,￥1000～￥1999,不定休
パティスリー カーヴァンソン,https://tabelog.com/tokyo/A1309/A130905/13035194/,飯田橋駅 408m,ケーキ、チョコレート、洋菓子（その他）,3.94,￥10000～￥14999,￥5000～￥5999,だいたい休業しています
パティスリー プレジール,https://tabelog.com/tokyo/A1317/A131706/13045491/,西太子堂駅 671m,ケーキ、カフェ,3.94,￥1000～￥1999,￥1000～￥1999,月曜～金曜
パティスリー ユウ ササゲ,https://tabelog.com/tokyo/A1318/A131809/13155662/,千歳烏山駅 265m,ケーキ、パン,3.91,￥2000～￥2999,￥1000～￥1999,火曜、第2・4水曜
Patisserie JUN UJITA,https://tabelog.com/tokyo/A1317/A131702/13133033/,都立大学駅 916m,ケーキ、カフェ,3.88,￥1000～￥1999,￥1000～￥1999,月・火がお休みとなります。祝日の場合は営業いたします。
