name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
パティスリー サツキ,（patisserie SATSUKI）,https://tabelog.com/chiba/A1201/A120102/12005210/,無休,海浜幕張駅,ケーキ パン,￥3000～￥3999,￥1000～￥1999,3.61,千葉県 千葉市美浜区ひび野2-120-3 ホテルニューオータニ幕張 1F,043-299-1639,99,3746,https://tabelog.com/chiba/A1201/A120102/12005210/dtlmenu,https://tabelog.com/chiba/A1201/A120102/12005210/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120102/12005210/dtlphotolst/4/smp2
パティスリー 工房 ルーレ,（Patisserie Roule）,https://tabelog.com/chiba/A1201/A120101/12001210/,月曜（祝日の場合は翌日）・第１第３火曜,西千葉駅,ケーキ,-,～￥999,3.52,千葉県 千葉市中央区春日2-6-7 春日マンション　１０１,043-241-1167,63,1340,https://tabelog.com/chiba/A1201/A120101/12001210/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12001210/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12001210/dtlphotolst/4/smp2
パティスリー タルブ,,https://tabelog.com/chiba/A1201/A120102/12002458/,毎週火曜日,海浜幕張駅,洋菓子（その他） スイーツ（その他）,-,～￥999,3.22,千葉県 千葉市美浜区打瀬3-6 ミラマール　１Ｆ,043-351-7551,14,307,https://tabelog.com/chiba/A1201/A120102/12002458/dtlmenu,https://tabelog.com/chiba/A1201/A120102/12002458/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120102/12002458/dtlphotolst/4/smp2
パティスリー サチアージュ,（Sachiage）,https://tabelog.com/chiba/A1201/A120101/12033847/,不定休,栄町駅,ケーキ 洋菓子（その他） パン,-,～￥999,3.21,千葉県 千葉市中央区弁天2-23-1 弁天プラザビル 1F,043-306-4636,16,448,https://tabelog.com/chiba/A1201/A120101/12033847/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12033847/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12033847/dtlphotolst/4/smp2
パティスリー・クルトワ,,https://tabelog.com/chiba/A1201/A120105/12033080/,月～金曜日,ちはら台駅,ケーキ,～￥999,～￥999,3.19,千葉県 千葉市緑区中西町602-18 ,043-310-7300,9,179,https://tabelog.com/chiba/A1201/A120105/12033080/dtlmenu,https://tabelog.com/chiba/A1201/A120105/12033080/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120105/12033080/dtlphotolst/4/smp2
パティスリーメグン,（Patisserie Megun）,https://tabelog.com/chiba/A1201/A120105/12028016/,火曜日、不定休（SNSにて告知）,おゆみ野駅,ケーキ,-,￥4000～￥4999,3.17,千葉県 千葉市緑区おゆみ野中央3-22-2 シャリオール1F,043-308-4402,14,257,https://tabelog.com/chiba/A1201/A120105/12028016/dtlmenu,https://tabelog.com/chiba/A1201/A120105/12028016/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120105/12028016/dtlphotolst/4/smp2
デフィ ブーランジェリー&パティスリー,（Defi）,https://tabelog.com/chiba/A1201/A120101/12050353/,水曜日,西登戸駅,パン ケーキ,-,￥1000～￥1999,3.15,千葉県 千葉市中央区松波1-16-11 伊藤ビル 1F,080-7597-0705,15,773,https://tabelog.com/chiba/A1201/A120101/12050353/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12050353/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12050353/dtlphotolst/4/smp2
パティスリー アベベ,（PATISSERIE Abebe）,https://tabelog.com/chiba/A1201/A120102/12048118/,水曜日,幕張駅,ケーキ,-,～￥999,3.13,千葉県 千葉市花見川区幕張町6-78-11 ,043-307-2975,6,107,https://tabelog.com/chiba/A1201/A120102/12048118/dtlmenu,https://tabelog.com/chiba/A1201/A120102/12048118/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120102/12048118/dtlphotolst/4/smp2
パティスリー ミュウ,（Patisserie mieux）,https://tabelog.com/chiba/A1201/A120103/12025944/,木曜,検見川浜駅,ケーキ 洋菓子（その他）,-,～￥999,3.11,千葉県 千葉市美浜区磯辺4-15-22 ,043-277-4824,8,101,https://tabelog.com/chiba/A1201/A120103/12025944/dtlmenu,https://tabelog.com/chiba/A1201/A120103/12025944/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120103/12025944/dtlphotolst/4/smp2
パティスリー いろは,（IROHA）,https://tabelog.com/chiba/A1201/A120104/12024731/,火曜日・第１月曜日,作草部駅,ケーキ,￥1000～￥1999,～￥999,3.09,千葉県 千葉市稲毛区轟町4-1-13 華ハイツ 101号室,043-215-8335,12,119,https://tabelog.com/chiba/A1201/A120104/12024731/dtlmenu,https://tabelog.com/chiba/A1201/A120104/12024731/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120104/12024731/dtlphotolst/4/smp2
