name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
プティ・ポン・パティスリー,（Petit Pont Patisserie）,https://tabelog.com/tokyo/A1329/A132905/13208031/,月曜日・火曜日,高尾駅,ケーキ,-,￥1000～￥1999,3.11,東京都 八王子市初沢町1298-2 ,-,9,202,https://tabelog.com/tokyo/A1329/A132905/13208031/dtlmenu,https://tabelog.com/tokyo/A1329/A132905/13208031/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1329/A132905/13208031/dtlphotolst/4/smp2
ラ・パティスリー by アマン東京,（La Patisserie by Aman Tokyo）,https://tabelog.com/tokyo/A1302/A130201/13262844/,日曜日,大手町駅,ケーキ 洋菓子（その他） パン,-,～￥999,3.53,東京都 千代田区大手町1-5-6 大手町タワー OOTEMORI B2F,03-5224-3339,54,2569,https://tabelog.com/tokyo/A1302/A130201/13262844/dtlmenu,https://tabelog.com/tokyo/A1302/A130201/13262844/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1302/A130201/13262844/dtlphotolst/4/smp2
マパティスリー,,https://tabelog.com/tokyo/A1304/A130401/13126511/,伊勢丹に準じる,新宿三丁目駅,ケーキ,-,￥1000～￥1999,3.15,東京都 新宿区新宿3-14-1 伊勢丹新宿店  B1F,03-3352-1111,16,341,https://tabelog.com/tokyo/A1304/A130401/13126511/dtlmenu,https://tabelog.com/tokyo/A1304/A130401/13126511/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1304/A130401/13126511/dtlphotolst/4/smp2
パティスリー華,（Patisserie 華）,https://tabelog.com/tokyo/A1319/A131905/13168444/,水曜日・他不定休,阿佐ケ谷駅,ケーキ カフェ,￥1000～￥1999,～￥999,3.13,東京都 杉並区阿佐谷北4-20-8 コーポ佐野 1Ｆ,03-3339-9184,13,341,https://tabelog.com/tokyo/A1319/A131905/13168444/dtlmenu,https://tabelog.com/tokyo/A1319/A131905/13168444/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1319/A131905/13168444/dtlphotolst/4/smp2
パティスリー リョーコ,（PÂTISSERIE RYOCO）,https://tabelog.com/tokyo/A1316/A131603/13137010/,不定休（HPに掲載）,高輪台駅,ケーキ チョコレート マカロン,￥3000～￥3999,￥4000～￥4999,4.12,東京都 港区高輪3-2-8 ,03-5422-6942,601,60622,https://tabelog.com/tokyo/A1316/A131603/13137010/dtlmenu,https://tabelog.com/tokyo/A1316/A131603/13137010/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1316/A131603/13137010/dtlphotolst/4/smp2
パティスリー・パリセヴェイユ,（patisserie Paris S'eveille）,https://tabelog.com/tokyo/A1317/A131703/13005198/,不定休,自由が丘駅,ケーキ カフェ パン,￥1000～￥1999,￥1000～￥1999,4.03,東京都 目黒区自由が丘2-14-5 館山ビル 1F,03-5731-3230,1323,95540,https://tabelog.com/tokyo/A1317/A131703/13005198/dtlmenu,https://tabelog.com/tokyo/A1317/A131703/13005198/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131703/13005198/dtlphotolst/4/smp2
パティスリー カーヴァンソン,（patisserie K.ViNCENT）,https://tabelog.com/tokyo/A1309/A130905/13035194/,だいたい休業しています,飯田橋駅,ケーキ チョコレート 洋菓子（その他）,～￥999,￥5000～￥5999,3.95,東京都 新宿区筑土八幡町1-2 第３ＮＫビル 1Ｆ,03-5228-3931,490,37537,https://tabelog.com/tokyo/A1309/A130905/13035194/dtlmenu,https://tabelog.com/tokyo/A1309/A130905/13035194/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1309/A130905/13035194/dtlphotolst/4/smp2
パティスリー プレジール,（patisserie Plaisir）,https://tabelog.com/tokyo/A1317/A131706/13045491/,月曜～金曜,西太子堂駅,ケーキ カフェ,￥1000～￥1999,￥1000～￥1999,3.94,東京都 世田谷区代沢4-7-3 ,03-6431-0350,371,31305,https://tabelog.com/tokyo/A1317/A131706/13045491/dtlmenu,https://tabelog.com/tokyo/A1317/A131706/13045491/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131706/13045491/dtlphotolst/4/smp2
パティスリー ユウ ササゲ,（Patisserie Yu Sasage）,https://tabelog.com/tokyo/A1318/A131809/13155662/,火曜、第2・4水曜,千歳烏山駅,ケーキ パン,￥2000～￥2999,￥1000～￥1999,3.90,東京都 世田谷区南烏山6-28-13 ,03-5315-9090,341,24139,https://tabelog.com/tokyo/A1318/A131809/13155662/dtlmenu,https://tabelog.com/tokyo/A1318/A131809/13155662/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1318/A131809/13155662/dtlphotolst/4/smp2
Patisserie JUN UJITA,（パティスリー ジュンウジタ）,https://tabelog.com/tokyo/A1317/A131702/13133033/,月・火がお休みとなります。祝日の場合は営業いたします。,都立大学駅,ケーキ カフェ,￥1000～￥1999,￥1000～￥1999,3.89,東京都 目黒区碑文谷4-6-6 ,03-5724-3588,280,22476,https://tabelog.com/tokyo/A1317/A131702/13133033/dtlmenu,https://tabelog.com/tokyo/A1317/A131702/13133033/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131702/13133033/dtlphotolst/4/smp2
ア コテ パティスリー,（A Cote Patisserie）,https://tabelog.com/tokyo/A1316/A131602/13051424/,日曜日・不定休,白金台駅,ケーキ チョコレート 洋菓子（その他）,～￥999,～￥999,3.81,東京都 港区白金台2-5-11 ,03-3447-1354,329,19506,https://tabelog.com/tokyo/A1316/A131602/13051424/dtlmenu,https://tabelog.com/tokyo/A1316/A131602/13051424/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1316/A131602/13051424/dtlphotolst/4/smp2
パティスリー イル・プルー・シュル・ラ・セーヌ,（IL PLEUT SUR LA SEINE）,https://tabelog.com/tokyo/A1303/A130303/13001912/,月～水曜日,代官山駅,ケーキ,￥1000～￥1999,￥1000～￥1999,3.78,東京都 渋谷区猿楽町17-16 代官山フォーラム　２Ｆ,03-3476-5211,432,35257,https://tabelog.com/tokyo/A1303/A130303/13001912/dtlmenu,https://tabelog.com/tokyo/A1303/A130303/13001912/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1303/A130303/13001912/dtlphotolst/4/smp2
パティスリー SATSUKI,（パティスリーサツキ）,https://tabelog.com/tokyo/A1308/A130803/13000178/,無休,永田町駅,ケーキ パン,～￥999,～￥999,3.77,東京都 千代田区紀尾井町4-1 ホテルニューオータニ 東京 ロビィ階,03-3221-7252,715,35938,https://tabelog.com/tokyo/A1308/A130803/13000178/dtlmenu,https://tabelog.com/tokyo/A1308/A130803/13000178/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1308/A130803/13000178/dtlphotolst/4/smp2
パティスリー レザネフォール 恵比寿本店,（Patisserie Les Annees Folles）,https://tabelog.com/tokyo/A1303/A130302/13149501/,不定休,代官山駅,ケーキ,～￥999,～￥999,3.76,東京都 渋谷区恵比寿西1-21-3 グレイス代官山 1F,03-6455-0141,482,33712,https://tabelog.com/tokyo/A1303/A130302/13149501/dtlmenu,https://tabelog.com/tokyo/A1303/A130302/13149501/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1303/A130302/13149501/dtlphotolst/4/smp2
パティスリー ラブリコチエ,（Patisserie l’abricotier）,https://tabelog.com/tokyo/A1319/A131904/13100828/,月曜（※火曜不定休）,高円寺駅,ケーキ カフェ,～￥999,￥1000～￥1999,3.76,東京都 中野区大和町1-66-3 ,03-5364-9675,349,26962,https://tabelog.com/tokyo/A1319/A131904/13100828/dtlmenu,https://tabelog.com/tokyo/A1319/A131904/13100828/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1319/A131904/13100828/dtlphotolst/4/smp2
パティスリー・スリール,（Patisserie SOURIRE）,https://tabelog.com/tokyo/A1317/A131701/13018799/,水曜日(祝日の場合変動）他に休業日あり,祐天寺駅,ケーキ パン,-,～￥999,3.76,東京都 目黒区五本木2-40-8 ,03-3715-5470,288,14667,https://tabelog.com/tokyo/A1317/A131701/13018799/dtlmenu,https://tabelog.com/tokyo/A1317/A131701/13018799/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131701/13018799/dtlphotolst/4/smp2
パティスリー カカオエット・パリ,（Pâtisserie Cacahouete Paris）,https://tabelog.com/tokyo/A1317/A131701/13039525/,火曜日、第1・3月曜日,中目黒駅,ケーキ 洋菓子（その他） カフェ,～￥999,￥1000～￥1999,3.75,東京都 目黒区東山1-9-6 ,03-5722-3920,417,24624,https://tabelog.com/tokyo/A1317/A131701/13039525/dtlmenu,https://tabelog.com/tokyo/A1317/A131701/13039525/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131701/13039525/dtlphotolst/4/smp2
パティスリーサロン・ドゥ・テ アミティエ,（Pâtisserie Salon de thé Amitié）,https://tabelog.com/tokyo/A1309/A130905/13047005/,火曜日、月曜日は不定休,神楽坂駅,ケーキ カフェ 洋菓子（その他）,￥1000～￥1999,￥1000～￥1999,3.75,東京都 新宿区築地町8-10 KDXレジデンス神楽坂 1F,03-5228-6285,323,23314,https://tabelog.com/tokyo/A1309/A130905/13047005/dtlmenu,https://tabelog.com/tokyo/A1309/A130905/13047005/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1309/A130905/13047005/dtlphotolst/4/smp2
パティスリー タダシ ヤナギ 八雲店,,https://tabelog.com/tokyo/A1317/A131702/13019733/,水曜日,都立大学駅,ケーキ パン,￥2000～￥2999,￥1000～￥1999,3.75,東京都 目黒区八雲2-8-11 ,03-5731-9477,261,12940,https://tabelog.com/tokyo/A1317/A131702/13019733/dtlmenu,https://tabelog.com/tokyo/A1317/A131702/13019733/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131702/13019733/dtlphotolst/4/smp2
リベルテ・パティスリー・ブーランジェリー 東京本店・吉祥寺,（LIBERTÉ PÂTISSERIE BOULANGERIE ）,https://tabelog.com/tokyo/A1320/A132001/13219660/,無休(年末年始 夏季 を除く),吉祥寺駅,パン ケーキ カフェ,￥2000～￥2999,￥1000～￥1999,3.73,東京都 武蔵野市吉祥寺本町2-14-3 ,0422-27-6593,380,27667,https://tabelog.com/tokyo/A1320/A132001/13219660/dtlmenu,https://tabelog.com/tokyo/A1320/A132001/13219660/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1320/A132001/13219660/dtlphotolst/4/smp2
パティスリートレカルム,（Patisserie TRES CALME）,https://tabelog.com/tokyo/A1323/A132301/13175122/,月曜日、不定期,千石駅,ケーキ マカロン パン,￥1000～￥1999,～￥999,3.73,東京都 文京区千石4-40-25 ,03-3946-0271,254,16678,https://tabelog.com/tokyo/A1323/A132301/13175122/dtlmenu,https://tabelog.com/tokyo/A1323/A132301/13175122/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1323/A132301/13175122/dtlphotolst/4/smp2
パティスリー　ラ・グリシーヌ,（Patisserie　la　glycine）,https://tabelog.com/tokyo/A1317/A131705/13150993/,毎週月曜日、第1.3火曜日（祝日の場合、翌日お休みをいただきます）,池尻大橋駅,スイーツ（その他） ケーキ,￥1000～￥1999,￥1000～￥1999,3.71,東京都 目黒区青葉台3-17-7 佐藤マンション 1F,03-6455-0213,169,13176,https://tabelog.com/tokyo/A1317/A131705/13150993/dtlmenu,https://tabelog.com/tokyo/A1317/A131705/13150993/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131705/13150993/dtlphotolst/4/smp2
パティスリー・サダハル・アオキ・パリ 丸の内店,（Patisserie Sadaharu AOKI paris）,https://tabelog.com/tokyo/A1301/A130102/13018800/,無休,有楽町駅,ケーキ マカロン,￥1000～￥1999,￥1000～￥1999,3.70,東京都 千代田区丸の内3-4-1 新国際ビル　１Ｆ,03-5293-2800,705,24960,https://tabelog.com/tokyo/A1301/A130102/13018800/dtlmenu,https://tabelog.com/tokyo/A1301/A130102/13018800/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130102/13018800/dtlphotolst/4/smp2
パティスリー フォブス,（Patisserie FOBS）,https://tabelog.com/tokyo/A1311/A131103/13200705/,火曜・水曜(祝日の場合は営業、翌日休み),田原町駅,ケーキ かき氷,￥1000～￥1999,～￥999,3.67,東京都 台東区寿3-8-4 ,03-6231-7720,157,13391,https://tabelog.com/tokyo/A1311/A131103/13200705/dtlmenu,https://tabelog.com/tokyo/A1311/A131103/13200705/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1311/A131103/13200705/dtlphotolst/4/smp2
