name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
パティスリー ｈ,（パティスリー　アッシュ）,https://tabelog.com/osaka/A2705/A270501/27043761/,水曜日(祝日の場合翌日)、不定休(SNSにて告知),深井駅,ケーキ,￥2000～￥2999,～￥999,3.29,大阪府 堺市中区深井沢町3395 フェリス深井沢101,072-278-5220,28,442,https://tabelog.com/osaka/A2705/A270501/27043761/dtlmenu,https://tabelog.com/osaka/A2705/A270501/27043761/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2705/A270501/27043761/dtlphotolst/4/smp2
レストラン パティスリー ジェイエス,（Restaurant et Patisserie js）,https://tabelog.com/osaka/A2701/A270108/27100580/,月,新福島駅,フレンチ ビストロ 洋菓子（その他）,￥10000～￥14999,￥10000～￥14999,3.75,大阪府 大阪市福島区福島2-2-8 ,06-7172-0342,20,3782,https://tabelog.com/osaka/A2701/A270108/27100580/dtlmenu,https://tabelog.com/osaka/A2701/A270108/27100580/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270108/27100580/dtlphotolst/4/smp2
パティスリー ショコラトリー オーディネール,,https://tabelog.com/osaka/A2701/A270201/27076593/,木曜日(水曜日に臨時休業することもあり)　Facebookで要確認,桜川駅,ケーキ チョコレート カフェ・喫茶（その他）,￥2000～￥2999,～￥999,3.72,大阪府 大阪市西区南堀江2-4-16 ファヴール南堀江 1F,06-6541-4747,244,24456,https://tabelog.com/osaka/A2701/A270201/27076593/dtlmenu,https://tabelog.com/osaka/A2701/A270201/27076593/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270201/27076593/dtlphotolst/4/smp2
パティスリー・ラ プラージュ,（Patisserie La Plage）,https://tabelog.com/osaka/A2701/A270104/27003644/,2021年5月から定休日を日曜日に変更,谷町四丁目駅,ケーキ,～￥999,～￥999,3.69,大阪府 大阪市中央区北新町3-7 1F,06-6949-3938,218,8189,https://tabelog.com/osaka/A2701/A270104/27003644/dtlmenu,https://tabelog.com/osaka/A2701/A270104/27003644/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270104/27003644/dtlphotolst/4/smp2
パティスリー アクイユ,（patisserie accueil）,https://tabelog.com/osaka/A2701/A270201/27079456/,火曜日＋不定休,西大橋駅,ケーキ チョコレート カフェ・喫茶（その他）,￥1000～￥1999,￥1000～￥1999,3.69,大阪府 大阪市西区北堀江1-17-18 102,06-6533-2313,149,10169,https://tabelog.com/osaka/A2701/A270201/27079456/dtlmenu,https://tabelog.com/osaka/A2701/A270201/27079456/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270201/27079456/dtlphotolst/4/smp2
パティスリー リエルグ,,https://tabelog.com/osaka/A2707/A270703/27043645/,日曜日、月曜日、不定休（SNSにて告知）,東花園駅,ケーキ 洋菓子（その他） カフェ,-,～￥999,3.65,大阪府 東大阪市玉串町東3-1-11 ,072-973-7194,114,4185,https://tabelog.com/osaka/A2707/A270703/27043645/dtlmenu,https://tabelog.com/osaka/A2707/A270703/27043645/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2707/A270703/27043645/dtlphotolst/4/smp2
パティスリー ルシェルシェ,（Patisserie Rechercher）,https://tabelog.com/osaka/A2701/A270105/27114044/,火曜日・他不定休あり,西長堀駅,ケーキ チョコレート,-,￥1000～￥1999,3.64,大阪府 大阪市西区南堀江3-9-28 ,06-6535-0870,65,6283,https://tabelog.com/osaka/A2701/A270105/27114044/dtlmenu,https://tabelog.com/osaka/A2701/A270105/27114044/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270105/27114044/dtlphotolst/4/smp2
パティスリー シロ・デラブル,（Patisserie de ESAKA SIROP D'ERABLE）,https://tabelog.com/osaka/A2706/A270602/27015447/,不定休,江坂駅,ケーキ チョコレート,～￥999,～￥999,3.63,大阪府 吹田市江の木町5-3 レーベンハウス江坂 1F,06-6387-3715,162,4819,https://tabelog.com/osaka/A2706/A270602/27015447/dtlmenu,https://tabelog.com/osaka/A2706/A270602/27015447/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2706/A270602/27015447/dtlphotolst/4/smp2
パティスリークロシェ,（Patisserie Crochet）,https://tabelog.com/osaka/A2701/A270108/27076035/,火曜（祝日の場合は営業）、不定休（SNSにて告知）,福島駅,ケーキ スイーツ（その他）,￥2000～￥2999,～￥999,3.63,大阪府 大阪市福島区福島7-4-9 プレステル福島 1F,06-6454-4660,110,6901,https://tabelog.com/osaka/A2701/A270108/27076035/dtlmenu,https://tabelog.com/osaka/A2701/A270108/27076035/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270108/27076035/dtlphotolst/4/smp2
ラ パティスリー カツラ,（LA PATISSERIE KATSURA）,https://tabelog.com/osaka/A2701/A270104/27115899/,月曜日,天満橋駅,洋菓子（その他）,～￥999,～￥999,3.63,大阪府 大阪市北区天満2-1-8 ,06-6484-9934,99,6556,https://tabelog.com/osaka/A2701/A270104/27115899/dtlmenu,https://tabelog.com/osaka/A2701/A270104/27115899/dtlphotolst/3/smp2,https://tabelog.com/osaka/A2701/A270104/27115899/dtlphotolst/4/smp2
