name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
パティスリー レジュールウールー,,https://tabelog.com/chiba/A1203/A120305/12044388/,火曜日、不定休（SNSにて告知）,流山おおたかの森駅,ケーキ,～￥999,～￥999,3.18,千葉県 流山市駒木347-2 けやきロード彩どり 102,04-7197-7018,9,241,https://tabelog.com/chiba/A1203/A120305/12044388/dtlmenu,https://tabelog.com/chiba/A1203/A120305/12044388/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120305/12044388/dtlphotolst/4/smp2,流山市
パティスリー テチ,（Patisserie Techi）,https://tabelog.com/chiba/A1203/A120305/12033507/,月曜日・第3火曜日,流山おおたかの森駅,ケーキ,-,～￥999,3.13,千葉県 流山市十太夫71-8 ,04-7157-3940,6,204,https://tabelog.com/chiba/A1203/A120305/12033507/dtlmenu,https://tabelog.com/chiba/A1203/A120305/12033507/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120305/12033507/dtlphotolst/4/smp2,流山市
パティスリーコンステラス,,https://tabelog.com/chiba/A1203/A120305/12054344/,水曜日、木曜日,流山おおたかの森駅,ケーキ チョコレート 洋菓子（その他）,-,￥3000～￥3999,3.12,千葉県 流山市おおたかの森北1-8-3 ,04-7189-8182,7,187,https://tabelog.com/chiba/A1203/A120305/12054344/dtlmenu,https://tabelog.com/chiba/A1203/A120305/12054344/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120305/12054344/dtlphotolst/4/smp2,流山市
パティスリー ボンボニエール メゾン,（ptisserie bonbonnire maison）,https://tabelog.com/chiba/A1203/A120301/12040783/,水曜日,柏駅,ケーキ 洋菓子（その他）,～￥999,～￥999,3.24,千葉県 柏市東上町3-39 ,04-7114-5060,12,401,https://tabelog.com/chiba/A1203/A120301/12040783/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12040783/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12040783/dtlphotolst/4/smp2,柏市
パティスリー ノンターン,（PATISSERIE NONTURNE）,https://tabelog.com/chiba/A1203/A120301/12046935/,月曜日、その他HP記載,我孫子駅,ケーキ,-,～￥999,3.09,千葉県 柏市手賀の杜5-21-2 ,04-7111-1911,9,155,https://tabelog.com/chiba/A1203/A120301/12046935/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12046935/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12046935/dtlphotolst/4/smp2,柏市
パティスリーミヤマ,,https://tabelog.com/chiba/A1203/A120301/12039268/,火曜日,柏の葉キャンパス駅,ケーキ,-,～￥999,3.09,千葉県 柏市高田1042-23 ,04-7168-0717,4,84,https://tabelog.com/chiba/A1203/A120301/12039268/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12039268/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12039268/dtlphotolst/4/smp2,柏市
パティスリー ル・ポワソン・ダヴリル,（Patisserie Le Poisson d' Avril）,https://tabelog.com/chiba/A1203/A120301/12044670/,火曜日・水曜日　イベント時変更有,南柏駅,ケーキ,￥1000～￥1999,￥1000～￥1999,3.08,千葉県 柏市南柏2-8-13 シェーヌV 101,04-7148-0880,7,186,https://tabelog.com/chiba/A1203/A120301/12044670/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12044670/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12044670/dtlphotolst/4/smp2,柏市
PATISSERIE ROSE PALE,（パティスリー ローズ パール）,https://tabelog.com/chiba/A1203/A120301/12051391/,水曜日,新柏駅,ケーキ チョコレート,～￥999,～￥999,3.07,千葉県 柏市新柏3-16-8 ,04-7197-5966,3,99,https://tabelog.com/chiba/A1203/A120301/12051391/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12051391/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12051391/dtlphotolst/4/smp2,柏市
パティスリーフイユ,（patisserie feuille）,https://tabelog.com/chiba/A1203/A120301/12054225/,木曜日,柏の葉キャンパス駅,ケーキ,-,￥1000～￥1999,3.05,千葉県 柏市若柴186中央146街区1 KOIL LINK GARAGE 1F,-,4,90,https://tabelog.com/chiba/A1203/A120301/12054225/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12054225/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12054225/dtlphotolst/4/smp2,柏市
Y.nakaki パティスリー,（ワイナカキ パティスリー）,https://tabelog.com/chiba/A1203/A120301/12053698/,毎週日曜日、月曜日,柏駅,ケーキ,-,～￥999,3.05,千葉県 柏市東上町1-17 KIIビル 1F,04-7157-2050,2,57,https://tabelog.com/chiba/A1203/A120301/12053698/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12053698/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12053698/dtlphotolst/4/smp2,柏市
