name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
マロン洋菓子店 西口店,,https://tabelog.com/chiba/A1203/A120305/12024195/,水曜日(祝日の場合営業),江戸川台駅,ケーキ 喫茶店,￥1000～￥1999,￥1000～￥1999,3.04,千葉県 流山市江戸川台西1-177-2 ,04-7153-1228,2,44,https://tabelog.com/chiba/A1203/A120305/12024195/dtlmenu,https://tabelog.com/chiba/A1203/A120305/12024195/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120305/12024195/dtlphotolst/4/smp2,流山市
マロン洋菓子店 東口店,,https://tabelog.com/chiba/A1203/A120305/12024196/,水曜日(水曜日が祝日の場合は営業),江戸川台駅,ケーキ スイーツ（その他）,～￥999,-,3.00,千葉県 流山市江戸川台東2-22 ,04-7152-8655,2,54,https://tabelog.com/chiba/A1203/A120305/12024196/dtlmenu,https://tabelog.com/chiba/A1203/A120305/12024196/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120305/12024196/dtlphotolst/4/smp2,流山市
洋菓子の店 グルメ 松葉町店,（ヨウガシノミセグルメ）,https://tabelog.com/chiba/A1203/A120301/12037739/,水曜日　水曜日が祝日の場合翌日木曜日,北柏駅,ケーキ,-,～￥999,3.27,千葉県 柏市松葉町2-1-6 ,04-7134-2006,14,146,https://tabelog.com/chiba/A1203/A120301/12037739/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12037739/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12037739/dtlphotolst/4/smp2,柏市
洋菓子ルメール,,https://tabelog.com/chiba/A1203/A120301/12029750/,月曜日,柏駅,カフェ ケーキ,～￥999,～￥999,3.17,千葉県 柏市明原3-21-27 ,04-7144-8117,7,93,https://tabelog.com/chiba/A1203/A120301/12029750/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12029750/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12029750/dtlphotolst/4/smp2,柏市
ハニー洋菓子店,,https://tabelog.com/chiba/A1203/A120301/12012183/,木曜日(祝日に当たる場合は営業いたします),増尾駅,ケーキ,-,￥1000～￥1999,3.11,千葉県 柏市加賀3丁目18-17 ,04-7172-8282,13,122,https://tabelog.com/chiba/A1203/A120301/12012183/dtlmenu,https://tabelog.com/chiba/A1203/A120301/12012183/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120301/12012183/dtlphotolst/4/smp2,柏市
洋菓子工房いわもと,,https://tabelog.com/chiba/A1203/A120302/12034066/,水曜,五香駅,ケーキ チョコレート,-,～￥999,3.06,千葉県 松戸市五香7-2-43 ,047-388-3424,6,74,https://tabelog.com/chiba/A1203/A120302/12034066/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12034066/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12034066/dtlphotolst/4/smp2,松戸市
エンドール洋菓子店,,https://tabelog.com/chiba/A1203/A120302/12048578/,-,北松戸駅,ケーキ,-,～￥999,3.02,千葉県 松戸市栄町5-313-1 ,047-364-2913,1,25,https://tabelog.com/chiba/A1203/A120302/12048578/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12048578/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12048578/dtlphotolst/4/smp2,松戸市
和洋菓子アキモト,,https://tabelog.com/chiba/A1203/A120302/12052200/,不定休,みのり台駅,和菓子,～￥999,～￥999,3.00,千葉県 松戸市稔台1-21-6 ,047-362-9533,1,6,https://tabelog.com/chiba/A1203/A120302/12052200/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12052200/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12052200/dtlphotolst/4/smp2,松戸市
ロンシャン洋菓子店,,https://tabelog.com/chiba/A1203/A120302/12017952/,不定休,元山駅,喫茶店 ケーキ,～￥999,～￥999,3.00,千葉県 松戸市五香南2-32-5 ,-,2,21,https://tabelog.com/chiba/A1203/A120302/12017952/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12017952/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12017952/dtlphotolst/4/smp2,松戸市
創作洋菓子 モンペリエ,,https://tabelog.com/chiba/A1202/A120202/12003027/,木曜,市川駅,ケーキ 洋菓子（その他）,￥1000～￥1999,～￥999,3.57,千葉県 市川市市川南1-5-17 ,047-326-2020,117,3418,https://tabelog.com/chiba/A1202/A120202/12003027/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12003027/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12003027/dtlphotolst/4/smp2,市川市
