name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in,city
近江屋洋菓子店 神田店,（オウミヤヨウガシテン）,https://tabelog.com/tokyo/A1310/A131002/13000337/,無休,淡路町駅,ケーキ パン ジュースバー,～￥999,～￥999,3.71,東京都 千代田区神田淡路町2-4 ,03-3251-1088,658,38739,https://tabelog.com/tokyo/A1310/A131002/13000337/dtlmenu,https://tabelog.com/tokyo/A1310/A131002/13000337/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1310/A131002/13000337/dtlphotolst/4/smp2,千代田区
函館洋菓子スナッフルス 有楽町店,,https://tabelog.com/tokyo/A1301/A130102/13161184/,不定休(東京交通会館に準ずる),有楽町駅,洋菓子（その他） ケーキ,-,￥1000～￥1999,3.54,東京都 千代田区有楽町2-10-1 東京交通会館  1F,090-3393-5888,106,5148,https://tabelog.com/tokyo/A1301/A130102/13161184/dtlmenu,https://tabelog.com/tokyo/A1301/A130102/13161184/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130102/13161184/dtlphotolst/4/smp2,千代田区
ローザー洋菓子店,（ローザー・ヨウガシテン）,https://tabelog.com/tokyo/A1308/A130803/13006394/,土曜・日曜・祝日,半蔵門駅,ケーキ 洋菓子（その他）,-,～￥999,3.53,東京都 千代田区麹町2-2 １Ｆ,03-3261-2971,80,8199,https://tabelog.com/tokyo/A1308/A130803/13006394/dtlmenu,https://tabelog.com/tokyo/A1308/A130803/13006394/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1308/A130803/13006394/dtlphotolst/4/smp2,千代田区
東京洋菓子倶楽部,（トウキョウヨウガシクラブ）,https://tabelog.com/tokyo/A1302/A130204/13003734/,第1・3日曜日,浜町駅,ケーキ 喫茶店 チョコレート,～￥999,～￥999,3.62,東京都 中央区日本橋浜町1-1-12 プラザマーム　１Ｆ,03-3865-4649,217,10033,https://tabelog.com/tokyo/A1302/A130204/13003734/dtlmenu,https://tabelog.com/tokyo/A1302/A130204/13003734/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1302/A130204/13003734/dtlphotolst/4/smp2,中央区
シヅカ洋菓子店 自然菓子研究所 銀座5丁目店,,https://tabelog.com/tokyo/A1301/A130101/13270326/,施設に準ずる,銀座駅,洋菓子（その他）,-,￥5000～￥5999,3.38,東京都 中央区銀座5-7-10 EXITMELSA GINZA SWEETS MARCH 1F,03-6280-6702,31,1459,https://tabelog.com/tokyo/A1301/A130101/13270326/dtlmenu,https://tabelog.com/tokyo/A1301/A130101/13270326/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130101/13270326/dtlphotolst/4/smp2,中央区
東京洋菓子 タングラム,（TANGRAM）,https://tabelog.com/tokyo/A1302/A130204/13220476/,祝日,浜町駅,ケーキ 洋菓子（その他） アイスクリーム,～￥999,～￥999,3.36,東京都 中央区日本橋浜町2-27-4 松村ビル 1F,03-5843-6432,28,1668,https://tabelog.com/tokyo/A1302/A130204/13220476/dtlmenu,https://tabelog.com/tokyo/A1302/A130204/13220476/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1302/A130204/13220476/dtlphotolst/4/smp2,中央区
銀座近江屋洋菓子店 茅場町店,,https://tabelog.com/tokyo/A1302/A130203/13045670/,-,茅場町駅,ケーキ,-,～￥999,3.36,東京都 中央区日本橋茅場町2-3-8 ,03-3668-5629,22,1367,https://tabelog.com/tokyo/A1302/A130203/13045670/dtlmenu,https://tabelog.com/tokyo/A1302/A130203/13045670/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1302/A130203/13045670/dtlphotolst/4/smp2,中央区
門洋菓子店 日本橋店,,https://tabelog.com/tokyo/A1302/A130202/13087076/,日曜・祝日・第2土曜,日本橋駅,カフェ ケーキ パスタ,-,～￥999,3.26,東京都 中央区日本橋2-1-10 柳屋ビルディング　B2F,03-3271-1738,25,1050,https://tabelog.com/tokyo/A1302/A130202/13087076/dtlmenu,https://tabelog.com/tokyo/A1302/A130202/13087076/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1302/A130202/13087076/dtlphotolst/4/smp2,中央区
銀座近江屋洋菓子店,,https://tabelog.com/tokyo/A1301/A130101/13098458/,日曜、祝日,銀座駅,ケーキ,￥3000～￥3999,-,3.21,東京都 中央区銀座7-6-7 ,03-3572-4062,20,3291,https://tabelog.com/tokyo/A1301/A130101/13098458/dtlmenu,https://tabelog.com/tokyo/A1301/A130101/13098458/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130101/13098458/dtlphotolst/4/smp2,中央区
西洋菓子舗 不二家 銀座三越店,,https://tabelog.com/tokyo/A1301/A130101/13250569/,-,銀座駅,ケーキ 洋菓子（その他） どら焼き,￥1000～￥1999,～￥999,3.21,東京都 中央区銀座4-6-16 銀座三越  B2F,03-3535-1809,13,64,https://tabelog.com/tokyo/A1301/A130101/13250569/dtlmenu,https://tabelog.com/tokyo/A1301/A130101/13250569/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130101/13250569/dtlphotolst/4/smp2,中央区
